,001_08,002_08,003_08,004_08,005_08,006_08,007_08,019_14,020_14,021_14,022_14,023_14,024_14,025_14,026_14,027_14,028_14,076_13,077_13,078_13,079_13,080_13,081_13,082_13,083_13,084_13,085_13,086_13,087_13,089_13,090_13,091_13,092_13,093_13,094_13,095_13,096_13,097_13,098_13,099_13,100_13,102_13,103_13,104_13,105_13,106_13,236_14,237_14,238_14,239_14,240_14,241_14,242_14,243_14,244_14,245_14,246_14,247_14,248_14,249_14,250_14,251_14,252_14,253_14,254_14,255_14,256_14,257_14,258_14,259_14,260_14,261_14,262_14,263_14,264_14,265_14,266_14,267_14,268_14
001_08,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002_08,0.137104362,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003_08,0.121925138,0.066066176,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004_08,-0.555050373,-0.050821815,-0.014341172,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
005_08,0.04820716,0.022009945,-0.382718235,-0.279691607,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006_08,-0.398088366,0.399734527,-0.144204393,-0.109638326,0.670249522,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
007_08,-0.507229745,-0.035564028,0.044060729,0.206480652,0.128974885,0.370449215,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
019_14,-0.428100348,0.050374068,-0.225088194,0.000354239,-0.400348395,-0.215186074,0.528508425,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020_14,-0.040296655,-0.652061641,0.206032306,-0.160061911,-0.519673824,-0.852263689,-0.243616268,-0.393109649,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
021_14,0.130140781,-0.126686022,-0.591841757,-0.374311566,-0.137610734,-0.410449117,-0.23488684,-0.40569818,0.110225283,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022_14,-0.299066573,-0.14955464,0.38854748,0.142207935,-0.276865005,-0.067918763,0.27942279,0.166718379,0.211301088,-0.29723677,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023_14,-0.021193333,-0.152129605,0.190777719,0.214524269,-0.13616778,-0.369818091,0.035343058,-0.110163346,0.531321526,0.19536145,0.178360596,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
024_14,-0.122604936,0.011569981,0.650840461,0.325427473,-0.575969398,-0.388771564,0.120274924,0.054155938,0.29234308,-0.439413369,0.434275985,0.38511467,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
025_14,-0.042639375,-0.351538509,0.301878989,-0.357340932,-0.15422079,-0.255627662,0.05022078,-0.258015275,0.883254647,0.072376207,0.289461851,0.251947135,0.230102554,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026_14,-0.005936706,-0.179772958,0.246718466,-0.114227086,0.297666967,0.109686472,0.469686091,0.020114418,-0.240462929,-0.317407459,0.204733759,0.034939937,-0.000760706,-0.09398815,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
027_14,0.009509983,0.172985464,0.45714426,-0.143141255,0.147685751,0.157712698,-0.16374059,-0.424005151,-0.112579398,-0.313034892,0.202226162,0.300537258,0.112581968,-0.084155947,0.598291636,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
028_14,-0.140599295,0.099381663,0.305030286,0.151818365,0.196003139,0.137774721,0.195905581,-0.286269367,-0.083507076,-0.33465457,0.263045579,0.213884264,0.189043164,0.054114766,0.56816417,0.755572617,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
076_13,0.186588883,-0.236031264,0.442230046,-0.375554591,0.197689652,0.002894223,-0.033303756,-0.201692432,0.077512443,-0.375675052,0.244009495,0.079826482,0.049736656,0.190927744,0.486960262,0.614110231,0.303864002,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
077_13,0.295996726,-0.221560195,0.640985787,-0.153029084,-0.25521484,-0.565360248,-0.238984734,-0.356753975,0.451241344,-0.40530777,0.214684114,0.454481423,0.48792994,0.430565149,0.197899327,0.719845235,0.45879975,0.69818902,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
